229|MDAS|MstMenu.MnuID|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
230|MDAS|MstMenu.MnuID|Required|Y|Please enter code||
231|MDAS|MstMenu.MnuID|Padded|Y|\ ||
232|MDAS|MstMenu.MNUITEMNAME|MaxLength|10|Max length is 10||
233|MDAS|MstMenu.MNUITEMNAME|MinLength|5|Min length is 5||
234|MDAS|MstMenu.MNUITEMNAME|DataType|^[A-z]+[0-9,',\\-,\\\\,.]*$|Invalid name|Name|
235|MDAS|MstMenu.MNUITEMNAME|Required|Y|Please enter name||
236|MDAS|MstMenu.MnuItemPosition|MinLength|1|Min length is 5||
237|MDAS|MstMenu.MnuItemPosition|MaxLength|10|Max length is 10||
238|MDAS|MstMenu.MnuItemPosition|DataType|\ |\ ||
239|MDAS|MstMenu.MnuItemPosition|Required|Y|Please enter Position||
240|MDAS|MstConsumerCategory.CcatID|MinLength|4|Min Length is 4||
241|MDAS|MstConsumerCategory.CcatID|MaxLength|10|Max Length is 10||
242|MDAS|MstConsumerCategory.CcatID|DataType|^[A-z0-9]+$|Invalid code|Alphanumeric|
243|MDAS|MstConsumerCategory.CcatID|Required|Y|Please enter code||
244|MDAS|MstConsumerCategory.CcatID|Padded|Y|\ ||
245|MDAS|MstConsumerCategory.CcatDescription|MaxLength|10|Max length is 10||
246|MDAS|MstConsumerCategory.CcatDescription|MinLength|5|Min length is 5||
247|MDAS|MstConsumerCategory.CcatDescription|DataType||Invalid desc||
248|MDAS|MstConsumerCategory.CcatDescription|Required|Y|Please enter description||
249|MDAS|MstConsumerCategory.CcTariffID|Required|Y|Please select Tariff code||
250|MDAS|MstConsumerCategory.CcTariffID|MaxLength|400|Max length is 400||
251|MDAS|MstConsumerCategory.CcTariffID|MinLength|0|Min length is 0||
252|MDAS|MstConsumerMeterRelation.CMRConsumerID|MinLength|4|Min Length is 4||
253|MDAS|MstConsumerMeterRelation.CMRConsumerID|MaxLength|10|Max Length is 10||
